internship_id,job_title,company,monthly_lump_sum,weekly_lump_sum,incentive,duration_in_days,location,apply_by,applicants,number_of_openings,skill_set,perks,src_url
1813977,Web Development,Tritan Solutions Private Limited,2500,0,100 per design,90,Delhi,2022-06-20,0,2,"['.NET', 'Mojolicious MVC Web Framework', 'Windows Mobile Application Development']","['Certificate', ' Letter of recommendation', ' Job offer']",https://internshala.com/internship/detail/web-development-internship-in-delhi-at-tritan-solutions-private-limited1654343013
1811459,.NET Development,Visual Media Monitor,15000,0,,180,Delhi,2022-06-20,0,5,"['.NET', 'ASP.NET', 'HTML', 'SQL']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' Job offer']",https://internshala.com/internship/detail/net-development-internship-in-delhi-at-visual-media-monitor1654160999
1813508,.NET Development,E-Procurement Technologies Limited,10000,0,,180,Ahmedabad,2022-06-18,0,4,"['.NET', 'ASP.NET', 'C#', 'Model View Controller(MVC)', 'SQL']","['Certificate', ' Informal dress code', ' 5 days a week']",https://internshala.com/internship/detail/net-development-internship-in-ahmedabad-at-e-procurement-technologies-limited1654319658
1811721,ASP.NET/MVC Development,SMG Infosolutions Private Limited,11000,0,,180,Ahmedabad,2022-06-17,0,5,"['ASP.NET', 'C#', 'C#.NET', 'Model View Controller(MVC)', 'MS SQL Server']","['Certificate', ' Informal dress code', ' Job offer']",https://internshala.com/internship/detail/aspnet-mvc-development-internship-in-ahmedabad-at-smg-infosolutions-private-limited1654255744
1810101,.NET Development,TechUnity Software Systems India Private Limited,10000,0,,90,Coimbatore,2022-06-15,0,2,['.NET'],[''],https://internshala.com/internship/detail/net-development-internship-in-multiple-locations-at-techunity-software-systems-india-private-limited1654090633
1809836,.NET Development,Datastack Technologies Private Limited,10000,0,,180,Ahmedabad,2022-06-16,0,5,"['.NET', 'ASP.NET', 'C#', 'C#.NET', 'JavaScript']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' 5 days a week', ' Job offer']",https://internshala.com/internship/detail/net-development-internship-in-multiple-locations-at-datastack-technologies-private-limited1654071780
1803966,Dot Net Development,Shipgig Ventures Private Limited,5000,0,,180,Delhi,2022-06-14,0,10,"['ASP.NET', 'Catalyst MVC Web Framework']","['Certificate', ' Letter of recommendation', ' 5 days a week']",https://internshala.com/internship/detail/dot-net-development-internship-in-multiple-locations-at-shipgig-ventures-private-limited1653997688
1803539,.NET Development,IRIS Business Services Limited,10000,0,,90,Work From Home,2022-06-13,54,3,"['.NET', 'jQuery']","['Flexible work hours', ' Job offer']",https://internshala.com/internship/detail/net-development-work-from-home-job-internship-at-iris-business-services-limited1653554256
1806151,Web Development,Volcor Software,6000,0,,180,Ahmedabad,2022-06-13,28,3,"['.NET', 'CSS', 'HTML', 'JavaScript']",['5 days a week'],https://internshala.com/internship/detail/web-development-internship-in-ahmedabad-at-volcor-software1653764824
1805910,ASP.NET Development,SHOPSKY STORE PRIVATE LIMITED,12000,0,,90,Jaipur,2022-06-12,0,2,"['.NET', 'ASP.NET', 'HTML', 'JavaScript', 'jQuery', 'MS SQL Server', 'SQL']","['Certificate', ' Letter of recommendation', ' Job offer']",https://internshala.com/internship/detail/aspnet-development-internship-in-jaipur-at-shopsky-store-private-limited1653736238
1804392,.NET Development,Asset Online Private Limited,14000,0,,90,Hyderabad,2022-06-10,0,5,"['.NET', 'C#.NET', 'MS SQL Server']","['Certificate', ' 5 days a week']",https://internshala.com/internship/detail/net-development-internship-in-hyderabad-bangarapet-at-asset-online-private-limited1653628130
1804669,ASP.NET Development,SHOPSKY STORE PRIVATE LIMITED,12000,0,,90,Pune,2022-06-10,33,2,"['.NET', 'ASP.NET', 'HTML', 'JavaScript', 'jQuery', 'MS SQL Server', 'SQL']","['Certificate', ' Letter of recommendation', ' Job offer']",https://internshala.com/internship/detail/aspnet-development-internship-in-pune-at-shopsky-store-private-limited1653636945
1803582,ASP.NET Development,IRIS Business Services Limited,10000,0,,90,Navi Mumbai,2022-06-11,0,2,"['.NET', 'ASP.NET', 'C#', 'C#.NET', 'HTML', 'JavaScript', 'jQuery', 'Model View Controller(MVC)', 'MS SQL Server', 'SQL']",['Flexible work hours'],https://internshala.com/internship/detail/aspnet-development-internship-in-navi-mumbai-mumbai-at-iris-business-services-limited1653555852
1804033,.NET Development,Tantransh Solutions,5000,0,,120,Nagpur,2022-06-10,0,10,"['.NET', 'C#', 'C#.NET', 'C Programming']","['Certificate', ' Flexible work hours', ' Informal dress code', ' Free snacks & beverages']",https://internshala.com/internship/detail/net-development-internship-in-nagpur-at-tantransh-solutions1653625513
1804054,.NET,Shipgig Ventures Private Limited,5000,0,,180,Ghaziabad,2022-06-10,0,10,"['.NET', 'ASP.NET', 'Catalyst MVC Web Framework']","['Certificate', ' 5 days a week']",https://internshala.com/internship/detail/net-internship-in-multiple-locations-at-shipgig-ventures-private-limited1653625031
1803729,Dot Net Development,Shipgig Ventures Private Limited,5000,0,,180,Ghaziabad,2022-06-09,0,10,"['ASP.NET', 'Catalyst MVC Web Framework']","['Certificate', ' 5 days a week']",https://internshala.com/internship/detail/dot-net-development-internship-in-multiple-locations-at-shipgig-ventures-private-limited1653569678
1803943,ASP.NET Development,Atri Technocrat,6500,0,,180,Mumbai,2022-06-10,0,2,"['.NET', 'C#', 'C#.NET', 'SQL']",['Certificate'],https://internshala.com/internship/detail/aspnet-development-internship-in-mumbai-at-atri-technocrat1653567172
1803594,.NET Development,Carisma Solutions Private Limited,10000,0,,90,Mumbai,2022-06-09,36,2,"['.NET', 'ASP.NET', 'C#', 'CSS', 'HTML', 'JavaScript', 'MS SQL Server', 'SQL']","['Certificate', ' Letter of recommendation', ' Free snacks & beverages', ' Job offer']",https://internshala.com/internship/detail/net-development-internship-in-mumbai-at-carisma-solutions-private-limited1653557468
1801732,Web Development,Glaukoustech Solutions,10000,0,,180,Bangalore,2022-06-08,30,2,"['.NET', 'C#', 'C#.NET', 'User Interface (UI) Development']","['Certificate', ' Letter of recommendation', ' Informal dress code', ' Job offer']",https://internshala.com/internship/detail/web-development-internship-in-bangalore-at-glaukoustech-solutions1653413392
1801347,Web Development,Instant Info Solutions,5000,0,,90,Delhi,2022-06-08,53,4,"['.NET', 'C++ Programming', 'HTML', 'PHP']",[''],https://internshala.com/internship/detail/web-development-internship-in-delhi-at-instant-info-solutions1653391609
1800919,ASP.NET Development,Unikul Solutions Private Limited,10000,0,,180,Bangalore,2022-06-08,0,2,"['.NET', 'ASP.NET', 'C#', 'C#.NET', 'SQL']","['Certificate', ' Letter of recommendation', ' Informal dress code', ' 5 days a week', ' Free snacks & beverages']",https://internshala.com/internship/detail/aspnet-development-internship-in-bangalore-at-unikul-solutions-private-limited1653379652
1799792,Software Engineering (.NET),EVision IT Solution Private Limited,3750,0,,150,Ahmedabad,2022-06-07,0,4,"['.NET', 'AngularJS', 'ASP.NET', 'C#', 'C#.NET', 'CSS', 'HTML', 'jQuery', 'Model View Controller(MVC)', 'MS SQL Server']","['Certificate', ' Letter of recommendation', ' Flexible work hours', ' Informal dress code', ' 5 days a week', ' Job offer']",https://internshala.com/internship/detail/software-engineering-net-internship-in-multiple-locations-at-evision-it-solution-private-limited1653302512
1799390,ASP.NET/MVC Development,Isourse Technologies Private Limited,15000,0,,180,Delhi,2022-06-27,35,6,"['.NET', 'ASP.NET', 'C#', 'C++ Programming', 'jQuery', 'Microsoft Visual Studio', 'Model View Controller(MVC)', 'MS SQL Server']","['Certificate', ' Letter of recommendation', ' Informal dress code', ' Free snacks & beverages', ' Job offer']",https://internshala.com/internship/detail/aspnet-mvc-development-internship-in-multiple-locations-at-isourse-technologies-private-limited1653291003
1791216,ERP Software Development,Logix Infotech LLP,10000,0,,180,Delhi,2022-06-15,1000,2,"['Angular 7.0', 'ASP.NET', 'C#.NET', 'ERP Implementation and Deployment', 'MS SQL Server']","['Certificate', ' Letter of recommendation', ' Free snacks & beverages', ' Job offer']",https://internshala.com/internship/detail/erp-software-development-part-time-job-internship-at-delhi-noida-in-logix-infotech-llp1652679101
